Date (month/day/year),Time,1,2,3,4,5,6,7,8,9,10,11
11/07/2012,18:00:00,1.915403731,3.671407029,5.435802436,0.550852306,2.347689208,1.336107616,1.670695037,0.470116389,0.349808124,0.769709758,0.8350594
11/07/2012,18:30:00,1.432238826,3.103213084,6.357124883,0.302580844,2.228668209,1.004935643,2.857345392,0.282950613,0.553332851,2.132239453,0.51887186
11/07/2012,19:00:00,0.742003247,2.928384178,6.218926516,0.789425664,1.425276465,1.290428724,1.201468049,0.184963825,0.334967779,0.707559281,1.532293462
11/07/2012,19:30:00,2.562499586,2.185361327,5.067273457,0.548912685,1.041433743,1.096293429,0.942158398,1.238597043,0.298926942,0.8031754,0.802629908
11/07/2012,20:00:00,1.62205361,2.360190233,4.130595636,0.48878444,2.347689208,3.848446724,1.064404377,0.1860648,0.231085367,0.688436057,0.916133128
11/07/2012,20:30:00,1.561657997,3.015798631,3.977041895,0.475207095,1.321133091,1.781476822,1.023655717,0.189367726,0.273486351,0.903572324,1.029636347
11/07/2012,21:00:00,1.734216891,3.40916367,4.115240262,0.543093823,2.871381604,1.621600697,0.922401473,0.234507707,0.169603939,0.669312833,1.021528974
11/07/2012,21:30:00,0.509048739,2.840969725,2.241884621,0.465508991,1.767461837,1.804316268,0.470461795,0.29726329,0.171723988,0.903572324,0.859381518
11/07/2012,22:00:00,1.095748981,2.578726366,2.195818498,0.465508991,1.469909339,1.484564018,0.424773904,0.180559925,0.091162117,1.692405306,0.770200417
11/07/2012,22:30:00,1.052609257,2.797262499,2.16510775,0.339433639,1.029531643,0.810800348,0.27165773,0.078169236,0.142043299,1.161735846,0.640482452
11/07/2012,23:00:00,6.445074716,3.234334764,2.16510775,0.256029945,0.76470992,1.690119036,0.137063673,0.069361434,0.093282166,0.611943162,0.494549742
11/07/2012,23:30:00,7.376892747,3.103213084,2.257239995,0.246331841,0.65163997,1.31326817,0.207447721,0.079270211,0.106002462,0.387245282,0.705341435
11/08/2012,00:00:00,1.76872867,3.146920311,3.562446794,0.213358288,0.904559594,1.34752734,0.286475424,0.094683863,0.093282166,0.435053341,0.810737281
11/08/2012,00:30:00,1.259679931,3.671407029,2.257239995,0.226935633,0.607007096,0.708022839,0.187690795,0.078169236,0.08268192,0.406368506,0.745878299
11/08/2012,01:00:00,0.957701865,4.064772068,2.226529246,0.139652697,0.767685445,1.747217652,0.10372386,0.031928279,0.133563102,0.525888654,0.356724404
11/08/2012,01:30:00,0.258838342,2.40389746,1.980843261,0.223056391,0.68139522,1.244749831,0.201273681,0.056149733,0.059361379,0.449395759,0.843166772
11/08/2012,02:00:00,1.14751665,2.1416541,1.719801901,0.259909187,0.654615495,0.570986161,0.116071939,0.051745832,0.142043299,0.449395759,0.348617031
11/08/2012,02:30:00,0.457281071,2.010532421,1.689091152,0.168747009,0.66949312,1.301848447,0.176577524,0.031928279,0.061481428,0.521107848,0.875596264
11/08/2012,03:00:00,0.854166529,2.535019139,1.704446527,0.197841321,0.68139522,1.164811768,0.134594057,0.07706826,0.129323003,0.363341252,0.348617031
11/08/2012,03:30:00,7.040402902,2.753555272,1.704446527,0.199780942,0.618909196,0.616665054,0.159290214,0.031928279,0.080561871,0.545011878,0.843166772
11/08/2012,04:00:00,6.151724595,2.578726366,2.103686254,0.228875254,0.71115047,0.947837027,0.139533288,0.03413023,0.11024256,0.396806894,1.199891176
11/08/2012,04:30:00,1.371843213,1.923117968,2.840744211,0.345252502,0.562374221,1.735797929,0.149411751,0.07486631,0.097522265,0.588039132,0.535086606
11/08/2012,05:00:00,6.453702661,1.879410741,2.42614911,0.257969566,1.106895292,0.924997581,0.135828865,0.030827304,0.091162117,0.564135102,0.640482452
